ID,Song Name,Artist,Charter,Year,Genre,BPM,Difficulty,Download,Archive Link,Size
00030,Good Morning USA,Walter Murphy,Megaminerzero,2005,TV Music,150,5,YjEDjpaE,00030. Good Morning USA - Walter Murphy [Megaminerzero].zip,1721991
00031,pokemontheme,Nintendo,Danja,2022,VideoGames,290,6,AgGr72CY,00031. Pokemon Theme Song (TV) - John Siegler [Danja].zip,1663176
00032,Careless Whisper,George Michael,3xp0,1984,Pop,153,7,JMvmSA1V,00032. Careless Whisper - George Michael [3xp0].zip,2399418
00033,His Highness' Theme,Shogo Sakai,Henry Zhou's Textbook,2006,OST,137,5,rvDNrC4u,00033. His Highness' Theme - Shogo Sakai [Henry Zhou's Textbook].zip,2235610
00034,snake eater,Cynthia Harrell,aRVin,2004,OST,90,4,EuAU7V5Z,00034. Snake Eater Theme - Norihiko Hibino - Cynthia Harrell [aRVin].zip,3677946
00035,OMORI - BREADY STEADY GO,OMOCAT,MegaGoat,2020,Video Game,160,9,Ac1TrEtu,00035. BREADY STEADY GO - Pedro Silva [MegaGoat].zip,4468447
00036,I've Seen Footage,Death Grips,3xp0,2012,Experimental Hip-Hop,130,5,w6kdPTKG,00036. I've Seen Footage - Death Grips [3xp0].zip,5770133
00037,Toontown Main Theme,Jamie Christopherson,Henry Zhou's Textbook,2003,OST,156,6,th2t8ZxK,00037. Toontown Main Theme - Jamie Christopherson [Henry Zhou's Textbook].zip,11388098
00038,Spear of Justice (Trombone Champ Remix),NyxTheShield,NyxTheShield,2022,OST,180,6,gpEJrN8c,00038. Spear Of Justice - Toby Fox - NyxTheShield [NyxTheShield].zip,8792417
00039,BLOODY STREAM (JoJo OP 2),Coda,Megaminerzero,2013,Acid Jazz,132,7,DJJADHPK,00039. Bloody Stream - Coda [Megaminerzero].zip,2338332
00040,trampoline,Kero Kero Bonito,aRVin,2016,Indie Pop,125,7,GihfidRC,00040. Trampoline - Kero Kero Bonito [aRVin].zip,4629785
00041,Eichlers - OHMYGOD,ericswaggyswoop,Beric,2021,hyperska,201,5,FdymwyhX,00041. OHMYGOD - Eichlers [Beric].zip,2746752
00042,BRODYQUEST,Neil Cicierega,aRVin,2010,Meme,188,9,kqck57p7,00042. BRODYQUEST - Neil Cicierega [aRVin] (MP4 Version).zip,48784047
00042,BRODYQUEST,Neil Cicierega,aRVin,2010,Meme,188,9,3ZZa56TF,00042. BRODYQUEST - Neil Cicierega [aRVin] (PNG Version).zip,6629216
00043,Hasta La Vista,Klaus Wunderlich,RubenBML,1973,Easy Listening,138,5,5eZReqJE,00043. Hasta La Vista - Klaus Wunderlich [RubenBML].zip,10121563
00044,Paradise Warfare,Carpenter Brut,Deinonychus,2022,Synthwave,162,6,cpLjab5C,00044. Paradise Warfare - Carpenter Brut [Deinonychus].zip,6627874
00045,My Heart Will Go On,Celine Dion,Esteban,1997,Pop,98,4,ACysfgME,00045. My Heart Will Go On - Celine Dion [Esteban].zip,8056774
00046,The Ballad of Woodsy Owl,kitsch club,Slaw,2020,folk,188,5,UJWojys5,"00046. Ballad Of Woodsy Owl, The - kitsch club [Slaw].zip",12362215
00047,Spooky Scary Skeletons,Andrew Gold,Chromaticspace,1996,Children's,77,3,VqjS9iAd,00047. Spooky Scary Skeletons - Andrew Gold [Chromaticspace].zip,2555230
